no,filename,value1,value2,value3,value4,rotamer,OTDS,G_kcal
117,OTDS_study_ring_117,37.22745479935882,-56.93447443035723,-166.54014591061798,-164.6314323831767,app,1,7.026108897399999
118,OTDS_study_ring_118,-34.56163838454062,-179.08712838259248,144.62915902110967,78.21311704235646,syn_exo,0,7.07896551720001
119,OTDS_study_ring_119,-52.605298237627416,156.38833833707872,-164.4967528585029,-173.06064549661914,syn_exo,0,7.080541900800008
120,OTDS_study_ring_120,43.9714595014155,-44.52932088588492,-166.02837698162756,-164.0506369465534,app,1,7.102874001800009
121,OTDS_study_ring_121,-53.4226951281305,33.89481613042851,161.21720516732697,-80.26453042766545,app,0,7.1069821530000095
122,OTDS_study_ring_122,-40.39614063315801,-64.32489578394092,166.9125857034476,-81.08365762780815,app,0,7.124561218600009
123,OTDS_study_ring_123,-35.07773101425104,-147.88947622147603,-117.73069320749337,174.87331082158323,syn_exo,0,7.159026696400006
124,OTDS_study_ring_124,32.68862114620173,-66.10079394795362,-165.7640505470476,-174.12096647463744,syn_exo,0,7.1943281351999975
125,OTDS_study_ring_125,170.89220017584586,-65.07256875386378,-166.14589041216394,-165.3197508202769,app,0,7.228315921000005
126,OTDS_study_ring_126,176.3836449294179,57.263551074389824,172.86344440795025,89.97360285436794,syn_exo,0,7.263163552400001
127,OTDS_study_ring_127,-35.250032815125984,-176.96674067283425,163.75231139417915,-79.64605177464404,app,0,7.27508196780001
128,OTDS_study_ring_128,-49.16960657316865,144.55807775269756,134.5712852159756,76.77104614850413,syn_exo,0,7.302668680800009
129,OTDS_study_ring_129,34.374378929846316,171.24302082641262,-165.72091440604905,-174.4164770780721,syn_exo,0,7.3717190594
130,OTDS_study_ring_130,51.52895012523539,-154.99572437085834,-166.44560318236458,-165.62194827470884,app,0,7.415881684800007
131,OTDS_study_ring_131,52.75109093117054,-155.9056303511106,161.9439134232312,-80.42110502058749,app,0,7.419679336200004
132,OTDS_study_ring_132,-166.2206552788378,-169.94739955003206,178.6173345595835,87.59724144589572,syn_exo,0,7.461023578799998
133,OTDS_study_ring_133,-171.98612044059539,67.20388968730892,162.35953204047868,-79.99504745268092,app,0,7.489279060600007
134,OTDS_study_ring_134,52.044874789925714,-29.9236001107093,-163.35291772041836,-164.77283897679493,app,0,7.495011364600007
135,OTDS_study_ring_135,168.31053643919643,169.56984831831232,-179.52223923548937,-147.33447320610998,syn_endo,0,7.507980702400009
136,OTDS_study_ring_136,169.4178292370647,33.504712459664525,137.1607584918967,73.55642986245502,syn_exo,0,7.516650812200005
137,OTDS_study_ring_137,50.71838640407646,-31.075242664437578,-157.0024014415767,-173.54589799994883,syn_exo,0,7.521738232000004
138,OTDS_study_ring_138,-167.79451768105358,-159.4121054786329,-138.91495952315933,163.11295923651258,syn_exo,0,7.535949569000008
139,OTDS_study_ring_139,-41.32318857659042,49.075474533851626,-166.92991979426003,-164.14609131483945,app,1,7.565518703799999
140,OTDS_study_ring_140,36.352548381565114,178.85948883432212,-166.25423041372903,-165.5320103929856,app,0,7.609752983000001
141,OTDS_study_ring_141,37.203610640188664,-56.903608418877745,-165.67160902713536,-164.5820477370564,app,1,7.635381158800003
142,OTDS_study_ring_142,-168.27455980782074,-171.05855138686934,143.60608359834472,77.38742140523988,syn_exo,0,7.642379346599998
143,OTDS_study_ring_143,168.44820154965976,163.56505512423095,-174.7286483718253,-156.35173953796598,syn_endo,0,7.682601013000002
144,OTDS_study_ring_144,-53.720667727690014,-76.12891780802259,-131.0762813290019,-99.33535616277896,syn_endo,0,7.707249920200006
145,OTDS_study_ring_145,170.14623356158032,-63.83086110877804,-165.98901467950614,-164.6139480391436,app,0,7.714391415600005
146,OTDS_study_ring_146,-37.56719945250956,-38.14308125933753,-156.69469051923826,-171.7844422708149,syn_exo,0,7.7311822893999995
147,OTDS_study_ring_147,-168.1572124924285,-153.5390375767623,-116.94962147159036,174.2825659116621,syn_exo,0,7.757598657000007
148,OTDS_study_ring_148,37.71688363035739,51.1346078388719,-166.35741976039245,-165.55505954410503,app,0,7.771284532800006
149,OTDS_study_ring_149,-166.14234040276352,-172.2505977498901,-178.2532741763461,-154.62483239735965,syn_endo,0,7.802549474200006
150,OTDS_study_ring_150,-33.5699060030033,178.5025906630638,-166.4125854684935,-166.556900045332,app,0,7.815972619400004
151,OTDS_study_ring_151,-52.465968789847615,156.05131786005882,162.6138006682621,-79.93300088879803,app,0,7.816808580399997
152,OTDS_study_ring_152,33.65361730460155,178.90555582891005,162.45340842023217,-79.01471117887398,app,0,7.832548531799997
